Mnemônico,Andamento,Resp.,Cód. Shift,Cód. MV,Observação,Arquivo,Data de criação,Campo,Requerente
DESMO,Finalizada,Pedro,2224,2398,,https://drive.google.com/file/d/1dmIIqEtI5gKxMHo83BswTUjTdAWIf1a7/view?usp=drive_link,"April 15, 2026 12:59 PM",Formatado,
LEIDEN,Finalizada,Pedro,2219,1041,,https://drive.google.com/file/d/1ZrN1gbkunuxxBs19wv6s2oowdBYWXGKv/view?usp=drive_link,"April 15, 2026 10:09 AM",Formatado,
C216,Enviar e-mail,Pedro,2339,2474,Novo procedimento,https://drive.google.com/file/d/15R141keUKEDpvO9NH_1sgWtjhU618yYP/view?usp=drive_link,"April 13, 2026 7:20 AM",Formatado,
PB19PCR,Esperando validação,Pedro,1103,4330,Troca de setor: Apoio → Biomol,,"April 10, 2026 3:37 PM",Formatado,
EHISTOLG,Finalizada,Pedro,408,1279,pdf,,"April 10, 2026 3:33 PM",Livre,
HIVCONF,Finalizada,Pedro,1978,952,,https://drive.google.com/file/d/1HVdU6pQTWcX2l9BblheWXBHckEbxkY3t/view?usp=drive_link,"April 7, 2026 10:05 AM",Formatado,
BP180,Finalizada,Pedro,2170,2316,DB 04/2026,https://drive.google.com/file/d/19IlZFJI-WgpZLNt2l_NLgwBZq7Jvt9p-/view?usp=drive_link,"April 6, 2026 2:30 PM",Formatado,
PORFOQT,Finalizada,Pedro,,,,https://drive.google.com/file/d/16frA9flvLnNV37PMHR3wESbgWm0koSi0/view?usp=drive_link,"April 1, 2026 12:00 PM",Formatado,
HOMOCIST,Finalizada,Pedro,,,,https://drive.google.com/file/d/19OaH0LW4FDek7s9y8vP-bdqBm_S1lbO2/view?usp=drive_link,"March 31, 2026 2:29 PM",Formatado,
CC2,Finalizada,Pedro,,,,https://drive.google.com/file/d/1augnskWVMa7YN2f-bRGFGsHnWGoMfh9X/view?usp=drive_link,"March 31, 2026 2:28 PM",Formatado,
C1Q,Finalizada,Pedro,,,,https://drive.google.com/file/d/1g7e07hnoIEmqXbjy6JmLIwubZIEnvZq2/view?usp=drive_link,"March 31, 2026 2:28 PM",Formatado,
KAPLAMLL,Finalizada,Pedro,196,****,,https://drive.google.com/file/d/1GcT_bDRIKzWCICjS1EMMWs6MRIN4y9ZA/view?usp=drive_link,"March 31, 2026 11:06 AM",Formatado,
P190,Finalizada,"Kauã, Pedro",,,,https://drive.google.com/file/d/1l4jFekBCcNY0pcJwercNwv_8yJWo2IEU/view?usp=drive_link,"March 25, 2026 3:53 PM",Formatado,
IMUNOFIX,Finalizada,Pedro,,391,,https://drive.google.com/file/d/11lnQ2efyMGdfjKmImYoHfODHcj1l7Kd_/view?usp=drive_link,"March 25, 2026 8:18 AM",Formatado,
ELETROSG,Finalizada,Pedro,,396,,https://drive.google.com/file/d/1mLD62mpY6br-rX8kBX65hPIn2oosrROe/view?usp=drive_link,"March 25, 2026 8:18 AM",Formatado,
LIPOPA,Finalizada,Pedro,,,Versão para Fleury,https://drive.google.com/file/d/1dA5uDyXt-FvbnC7UNDtrpz7m88G5NSIC/view?usp=sharing,"March 24, 2026 2:56 PM",Formatado,
CA 15-3,Finalizada,Kauã,1551,4251,criar mascara para ca 15-3,https://drive.google.com/file/d/1M9WY-bynNZdk29UjBNuqhF888e0N0z-e/view?usp=drive_link,"March 23, 2026 1:55 PM",Formatado,
BP230,Finalizada,"Kauã, Pedro",-,2338,,https://drive.google.com/file/d/1PTzkzmnzFMmrzdsca9xt-07L8GNqoY_P/view?usp=sharing,"March 18, 2026 3:23 PM",Formatado,
LEPTOA,Finalizada,"Kauã, Pedro",978,4293,,LEPTOA.pdf,"March 18, 2026 2:22 PM",Formatado,
TRIPTASE,Finalizada,Pedro,1287,1983,,https://drive.google.com/file/d/1DZis1q4RYVMoCF4Aj1Wl_57_4g-9_ZgJ/view?usp=sharing,"March 16, 2026 1:56 PM",Formatado,
FAN,Finalizada,Kauã,452,663,adicionar obs geral nas mascaras,,"March 13, 2026 9:39 AM",Formatado,
